scenario_id,repetition_id,repetition_seed,structure_lambda,endpoint_draws,coverage,worst_class_coverage,mean_set_size,oracle_coverage,oracle_worst_class_coverage,oracle_mean_set_size,standard_coverage,standard_worst_class_coverage,standard_mean_set_size,delta_coverage,delta_worst_class_coverage,delta_set_size,d_T_fro,d_M_fro,d_V_fro,G_Aplus,cond_M_true,cond_M_assumed,tau_oracle_mean,tau_assumed_mean,T_true,T_assumed,M_true,M_assumed,coverage_class_0,oracle_coverage_class_0,delta_coverage_class_0,G_Aplus_class_0,i_star_oracle_class_0,i_star_assumed_class_0,tau_oracle_class_0,tau_assumed_class_0,coverage_class_1,oracle_coverage_class_1,delta_coverage_class_1,G_Aplus_class_1,i_star_oracle_class_1,i_star_assumed_class_1,tau_oracle_class_1,tau_assumed_class_1,coverage_class_2,oracle_coverage_class_2,delta_coverage_class_2,G_Aplus_class_2,i_star_oracle_class_2,i_star_assumed_class_2,tau_oracle_class_2,tau_assumed_class_2,coverage_class_3,oracle_coverage_class_3,delta_coverage_class_3,G_Aplus_class_3,i_star_oracle_class_3,i_star_assumed_class_3,tau_oracle_class_3,tau_assumed_class_3
0,0,2684447528,0.0,1,0.945,0.9248,1.5048,0.945,0.9248,1.5048,0.9932,0.9816,2.3972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.510756786337604,1.510756786337604,0.763017299952417,0.763017299952417,"[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]",0.9368,0.9368,0.0,0.0,957,957,0.7692670773475835,0.7692670773475835,0.96,0.96,0.0,0.0,1103,1103,0.8168517301970732,0.8168517301970732,0.9584,0.9584,0.0,0.0,1004,1004,0.7484298449195688,0.7484298449195688,0.9248,0.9248,0.0,0.0,986,986,0.717520547345442,0.717520547345442
0,0,2684447528,0.25,1,0.9384,0.8976,1.5268,0.945,0.9248,1.5048,0.9932,0.9816,2.3972,-0.006599999999999939,-0.027200000000000002,0.02200000000000002,0.0923049072844374,0.10619872466245833,0.19408596453311758,0.03743301606531908,1.510756786337604,1.456794403168771,0.763017299952417,0.7561906474806874,"[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.8,0.003963913405,0.035958798073,0.117904296224],[0.114171804789,0.8,0.132743494688,0.005464364758],[0.064799680365,0.05562700189,0.8,0.076631339018],[0.021028514846,0.140409084705,0.031297707239,0.8]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]","[[0.83522389071,0.004138443971,0.03754205904,0.123095606279],[0.108489178069,0.76018192596,0.126136506813,0.005192389157],[0.064990882158,0.055791138232,0.802360527603,0.076857452007],[0.021182398472,0.141436578053,0.031526739328,0.805854284147]]",0.8976,0.9368,-0.03920000000000001,0.03743301606531908,957,915,0.7692670773475835,0.7111157196973803,0.9752,0.96,0.015199999999999991,-0.00935556400748705,1103,1147,0.8168517301970732,0.8507058966636973,0.9336,0.9584,-0.024800000000000044,0.018773652700237314,1004,980,0.7484298449195688,0.7191039876605213,0.9472,0.9248,0.022400000000000087,-0.011595114588608957,986,1004,0.717520547345442,0.743836985901151
0,0,2684447528,0.5,1,0.9374,0.8648,1.644,0.945,0.9248,1.5048,0.9932,0.9816,2.3972,-0.00759999999999994,-0.05999999999999994,0.1392,0.18460981456887482,0.21117911903151054,0.3831911290096815,0.07484488384063709,1.510756786337604,1.4406478793827648,0.763017299952417,0.7657928782840029,"[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.8,0.002651683849,0.060865767942,0.145184799551],[0.118945893093,0.8,0.090380233381,0.003648345155],[0.063320093031,0.103006179854,0.8,0.051166855294],[0.017734013877,0.094342136297,0.048753998677,0.8]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]","[[0.793098259606,0.002628807307,0.060340668281,0.143932264806],[0.117422399502,0.789753367341,0.089222617067,0.00360161609],[0.06223146995,0.101235258501,0.786246096258,0.05028717529],[0.018456970671,0.098188151579,0.050741537133,0.832613340618]]",0.8648,0.9368,-0.07199999999999995,0.07484488384063709,957,877,0.7692670773475835,0.6695423635375757,0.9864,0.96,0.02640000000000009,-0.023610069509352447,1103,1200,0.8168517301970732,0.8912833158880756,0.924,0.9584,-0.034399999999999986,0.026218511240067993,1004,968,0.7484298449195688,0.7048941290374914,0.9744,0.9248,0.04960000000000009,-0.03515804556252279,986,1038,0.717520547345442,0.7974517046728692
0,0,2684447528,0.75,1,0.935,0.8352,1.7646,0.945,0.9248,1.5048,0.9932,0.9816,2.3972,-0.009999999999999898,-0.0895999999999999,0.25980000000000003,0.27691472185331223,0.3162481960439138,0.5646533167698264,0.11237168470638711,1.510756786337604,1.4519950700013626,0.763017299952417,0.7809963380268469,"[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.8,0.001339454293,0.085772737812,0.172465302878],[0.123719981396,0.8,0.048016972074,0.001832325553],[0.061840505696,0.150385357819,0.8,0.025702371569],[0.014439512908,0.048275187888,0.066210290114,0.8]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]","[[0.755017923454,0.001264139998,0.080949942989,0.162767993559],[0.12707876477,0.821718615446,0.049320549764,0.00188207002],[0.059580714356,0.144889938182,0.770766198431,0.024763149031],[0.015544326021,0.05196887624,0.071276250248,0.861210547491]]",0.8352,0.9368,-0.10159999999999991,0.11237168470638711,957,843,0.7692670773475835,0.6366232598961117,0.9928,0.96,0.03280000000000005,-0.042092247568888845,1103,1224,0.8168517301970732,0.9078307211830903,0.9168,0.9584,-0.04160000000000008,0.028606058917418006,1004,964,0.7484298449195688,0.6953263756227738,0.9952,0.9248,0.07040000000000002,-0.05935711923694467,986,1084,0.717520547345442,0.884204995405412
0,0,2684447528,1.0,1,0.9314,0.8056,1.9308,0.945,0.9248,1.5048,0.9932,0.9816,2.3972,-0.013599999999999945,-0.11919999999999997,0.42600000000000016,0.36921962913774964,0.4226667581577124,0.7365798710758586,0.15014783274419743,1.510756786337604,1.5251090699290684,0.763017299952417,0.7970471861998425,"[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.8,2.7224737e-05,0.110679707681,0.199745806205],[0.128494069699,0.8,0.005653710767,1.630595e-05],[0.060360918362,0.197764535783,0.8,0.000237887845],[0.011145011939,0.00220823948,0.083666581552,0.8]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]","[[0.720426878313,2.451679e-05,0.099670795371,0.179877809526],[0.13754978549,0.856380599118,0.006052160268,1.7455124e-05],[0.057032321479,0.186858829985,0.755884078993,0.000224769543],[0.012424487764,0.002461751011,0.093271718725,0.8918420425]]",0.8056,0.9368,-0.13119999999999998,0.15014783274419743,957,812,0.7692670773475835,0.6062733490159249,0.9936,0.96,0.033600000000000074,-0.06771599477454343,1103,1231,0.8168517301970732,0.9127006114695452,0.9264,0.9584,-0.03200000000000003,0.023729590972400808,1004,971,0.7484298449195688,0.7084957295123897,1.0,0.9248,0.07520000000000004,-0.09033253648187496,986,1132,0.717520547345442,0.9607190548015103
0,1,2514023370,0.0,1,0.9622,0.9432,1.633,0.9622,0.9432,1.633,0.994,0.9848,2.4846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.510756786337604,1.510756786337604,0.7902343039046633,0.7902343039046633,"[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]",0.9432,0.9432,0.0,0.0,963,963,0.7405438495855633,0.7405438495855633,0.9776,0.9776,0.0,0.0,1068,1068,0.8638883940638401,0.8638883940638401,0.9472,0.9472,0.0,0.0,996,996,0.780858788671989,0.780858788671989,0.9808,0.9808,0.0,0.0,1052,1052,0.775646183297261,0.775646183297261
0,1,2514023370,0.25,1,0.9536,0.9136,1.6036,0.9622,0.9432,1.633,0.994,0.9848,2.4846,-0.008600000000000052,-0.02960000000000007,-0.029400000000000093,0.0923049072844374,0.10619872466245833,0.19408596453311758,0.03709433906255556,1.510756786337604,1.456794403168771,0.7902343039046633,0.777227229684964,"[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.8,0.003963913405,0.035958798073,0.117904296224],[0.114171804789,0.8,0.132743494688,0.005464364758],[0.064799680365,0.05562700189,0.8,0.076631339018],[0.021028514846,0.140409084705,0.031297707239,0.8]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]","[[0.83522389071,0.004138443971,0.03754205904,0.123095606279],[0.108489178069,0.76018192596,0.126136506813,0.005192389157],[0.064990882158,0.055791138232,0.802360527603,0.076857452007],[0.021182398472,0.141436578053,0.031526739328,0.805854284147]]",0.9136,0.9432,-0.02960000000000007,0.03709433906255556,963,924,0.7405438495855633,0.6929217778119158,0.9848,0.9776,0.007199999999999984,-0.006859598517504173,1068,1082,0.8638883940638401,0.8767400650516732,0.9328,0.9472,-0.01440000000000008,0.019177580721279452,996,969,0.780858788671989,0.7538246607762787,0.9832,0.9808,0.0023999999999999577,-0.004462520852981169,1052,1060,0.775646183297261,0.7854224150999884
0,1,2514023370,0.5,1,0.9442,0.8712,1.6842,0.9622,0.9432,1.633,0.994,0.9848,2.4846,-0.018000000000000016,-0.07200000000000006,0.05119999999999991,0.18460981456887482,0.21117911903151054,0.3831911290096815,0.07424115932569104,1.510756786337604,1.4406478793827648,0.7902343039046633,0.7830795501271461,"[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.8,0.002651683849,0.060865767942,0.145184799551],[0.118945893093,0.8,0.090380233381,0.003648345155],[0.063320093031,0.103006179854,0.8,0.051166855294],[0.017734013877,0.094342136297,0.048753998677,0.8]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]","[[0.793098259606,0.002628807307,0.060340668281,0.143932264806],[0.117422399502,0.789753367341,0.089222617067,0.00360161609],[0.06223146995,0.101235258501,0.786246096258,0.05028717529],[0.018456970671,0.098188151579,0.050741537133,0.832613340618]]",0.8712,0.9432,-0.07200000000000006,0.07424115932569104,963,886,0.7405438495855633,0.6551352816892038,0.9912,0.9776,0.013599999999999945,-0.017126532387093635,1068,1111,0.8638883940638401,0.9058332562492524,0.9216,0.9472,-0.025600000000000067,0.02738828251314568,996,954,0.780858788671989,0.7310715050105346,0.9928,0.9808,0.01200000000000001,-0.020893179122856237,1052,1095,0.775646183297261,0.8402781575595938
0,1,2514023370,0.75,1,0.9412,0.8504,1.8116,0.9622,0.9432,1.633,0.994,0.9848,2.4846,-0.02100000000000002,-0.0928,0.1786000000000001,0.27691472185331223,0.3162481960439138,0.5646533167698264,0.1116074385595459,1.510756786337604,1.4519950700013626,0.7902343039046633,0.7957204580795316,"[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.8,0.001339454293,0.085772737812,0.172465302878],[0.123719981396,0.8,0.048016972074,0.001832325553],[0.061840505696,0.150385357819,0.8,0.025702371569],[0.014439512908,0.048275187888,0.066210290114,0.8]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]","[[0.755017923454,0.001264139998,0.080949942989,0.162767993559],[0.12707876477,0.821718615446,0.049320549764,0.00188207002],[0.059580714356,0.144889938182,0.770766198431,0.024763149031],[0.015544326021,0.05196887624,0.071276250248,0.861210547491]]",0.8504,0.9432,-0.0928,0.1116074385595459,963,853,0.7405438495855633,0.6315900913722178,0.9944,0.9776,0.016799999999999926,-0.030323027898797567,1068,1130,0.8638883940638401,0.9184886726174244,0.9208,0.9472,-0.02640000000000009,0.030862951804011537,996,950,0.780858788671989,0.7288581630525286,0.9992,0.9808,0.018399999999999972,-0.038242119826054674,1052,1135,0.775646183297261,0.9039449052759555
0,1,2514023370,1.0,1,0.9376,0.8296,1.943,0.9622,0.9432,1.633,0.994,0.9848,2.4846,-0.024600000000000066,-0.11360000000000003,0.31000000000000005,0.36921962913774964,0.4226667581577124,0.7365798710758586,0.1493419568022707,1.510756786337604,1.5251090699290684,0.7902343039046633,0.804024033192597,"[[0.8,0.005276142961,0.011051828203,0.090623792897],[0.109397716486,0.8,0.175106755995,0.007280384361],[0.0662792677,0.008247823926,0.8,0.102095822743],[0.024323015814,0.186476033113,0.013841415801,0.8]]","[[0.8,2.7224737e-05,0.110679707681,0.199745806205],[0.128494069699,0.8,0.005653710767,1.630595e-05],[0.060360918362,0.197764535783,0.8,0.000237887845],[0.011145011939,0.00220823948,0.083666581552,0.8]]","[[0.882075576343,0.005817446054,0.012185684665,0.099921292937],[0.100200800369,0.73274509624,0.160385770967,0.006668332424],[0.067865771655,0.00844524924,0.81914932389,0.104539655215],[0.023738098047,0.181991673696,0.013508558639,0.780761669618]]","[[0.720426878313,2.451679e-05,0.099670795371,0.179877809526],[0.13754978549,0.856380599118,0.006052160268,1.7455124e-05],[0.057032321479,0.186858829985,0.755884078993,0.000224769543],[0.012424487764,0.002461751011,0.093271718725,0.8918420425]]",0.8296,0.9432,-0.11360000000000003,0.1493419568022707,963,822,0.7405438495855633,0.6071288560884629,0.9984,0.9776,0.02079999999999993,-0.04960123153862801,1068,1167,0.8638883940638401,0.9438397301262434,0.9224,0.9472,-0.024800000000000044,0.02736881330904041,996,955,0.780858788671989,0.733446864058827,1.0,0.9808,0.019199999999999995,-0.06283577425789479,1052,1164,0.775646183297261,0.9316806824968549
